timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591111379472,1094,POST_Step_4_Just_Click_Next,200,OK,Thread Group 1-3,text,true,,3285,2807,3,3,https://training.flooded.io/step/5,873,0,654
1591111379472,873,POST_Step_4_Just_Click_Next-0,302,Found,Thread Group 1-3,text,true,,1134,1722,3,3,https://training.flooded.io/start,873,0,654
1591111380345,221,POST_Step_4_Just_Click_Next-1,200,OK,Thread Group 1-3,text,true,,2151,1085,3,3,https://training.flooded.io/step/5,221,0,0
1591111380496,860,GET_One_Time_Token,200,OK,Thread Group 1-1,text,true,,1079,1083,3,3,https://training.flooded.io/code,860,0,641
1591111383730,858,GET_One_Time_Token,200,OK,Thread Group 1-2,text,true,,1079,1083,3,3,https://training.flooded.io/code,858,0,637
1591111385947,851,GET_One_Time_Token,200,OK,Thread Group 1-3,text,true,,1079,1083,3,3,https://training.flooded.io/code,851,0,636
1591111386947,1070,POST_Step_5_Enter_One_Time_Token,200,OK,Thread Group 1-1,text,true,,2660,2494,3,3,https://training.flooded.io/done,854,0,635
1591111386947,854,POST_Step_5_Enter_One_Time_Token-0,302,Found,Thread Group 1-1,text,true,,1129,1411,3,3,https://training.flooded.io/start,854,0,635
1591111387802,215,POST_Step_5_Enter_One_Time_Token-1,200,OK,Thread Group 1-1,text,true,,1531,1083,3,3,https://training.flooded.io/done,215,0,0
1591111390045,1056,POST_Step_5_Enter_One_Time_Token,200,OK,Thread Group 1-2,text,true,,2660,2496,2,2,https://training.flooded.io/done,842,0,629
1591111390045,842,POST_Step_5_Enter_One_Time_Token-0,302,Found,Thread Group 1-2,text,true,,1129,1413,2,2,https://training.flooded.io/start,842,0,629
1591111390887,214,POST_Step_5_Enter_One_Time_Token-1,200,OK,Thread Group 1-2,text,true,,1531,1083,2,2,https://training.flooded.io/done,214,0,0
1591111392461,1028,POST_Step_5_Enter_One_Time_Token,200,OK,Thread Group 1-3,text,true,,2660,2492,1,1,https://training.flooded.io/done,817,0,610
1591111392461,817,POST_Step_5_Enter_One_Time_Token-0,302,Found,Thread Group 1-3,text,true,,1129,1409,1,1,https://training.flooded.io/start,817,0,610
1591111393278,211,POST_Step_5_Enter_One_Time_Token-1,200,OK,Thread Group 1-3,text,true,,1531,1083,1,1,https://training.flooded.io/done,211,0,0
